course_number,course_name,times,days,instructors
MATH:3770:0C03,Fundamental Properties Spaces/Funct  I,2:00P - 2:50P,Th,"Instructors:Yilin Zhu(Primary Instructor),Lihe Wang(Course Supervisor)"
MATH:3770:0C06,Fundamental Properties Spaces/Funct  I,12:30P - 1:20P,Th,"Instructors:Yilin Zhu(Primary Instructor),Lihe Wang(Course Supervisor)"
MATH:3800:0003,Introduction to Numerical Methods,10:30A - 11:20A,MWF,"Instructors:Laurent Jay(Primary Instructor)"
MATH:3800:0004,Introduction to Numerical Methods,11:30A - 12:20P,MWF,"Instructors:Laurent Jay(Primary Instructor)"
MATH:3996:0IND,Individual Study & Honors in Mathematics,NA,NA,"NA"
MATH:3997:0IND,Readings in Mathematics,NA,NA,"NA"
MATH:4010:0AAA,Basic Analysis,1:30P - 2:20P,MWF,"Instructors:Lihe Wang(Primary Instructor)"
MATH:4010:0A01,Basic Analysis,2:00P - 2:50P,Th,"Instructors:Yilin Zhu(Primary Instructor),Lihe Wang(Course Supervisor)"
MATH:4020:0BBB,Basic Abstract Algebra,12:30P - 1:20P,MWF,"Instructors:Yangbo Ye(Primary Instructor)"
MATH:4020:0B03,Basic Abstract Algebra,12:30P - 1:20P,Th,"Instructors:Yangbo Ye(Course Supervisor)"
MATH:4050:0001,Introduction to Discrete Mathematics,10:30A - 11:20A,MWF,"Instructors:Olga Sokratova(Primary Instructor)"
MATH:4090:0AAA,A Rigorous Intro to Abstract Algebra,11:30A - 12:20P,MWF,"Instructors:Ryan Kinser(Primary Instructor)"
MATH:4090:0A01,A Rigorous Intro to Abstract Algebra,11:00A - 11:50A,T,"Instructors:Manuel Albrizzio(Primary Instructor),Ryan Kinser(Course Supervisor)"
MATH:4200:0001,Complex Variables,9:30A - 10:20A,MWF,"Instructors:Hao Fang(Primary Instructor)"
MATH:4250:0001,Introduction to Financial Mathematics,3:30P - 4:20P,MWF,"Instructors:Palle Jorgensen(Primary Instructor)"
MATH:5000:0AAA,Abstract Algebra I,11:30A - 12:20P,MWF,"Instructors:Ryan Kinser(Primary Instructor)"
MATH:5000:0A01,Abstract Algebra I,11:00A - 11:50A,T,"Instructors:Manuel Albrizzio(Primary Instructor),Ryan Kinser(Course Supervisor)"
MATH:5200:0AAA,Introduction to Analysis I,2:30P - 3:20P,MWF,"Instructors:Raul Curto(Primary Instructor)"
MATH:5200:0A01,Introduction to Analysis I,8:30A - 9:20A,Th,"Instructors:Michael Davis(Primary Instructor),Raul Curto(Course Supervisor)"
MATH:5400:0AAA,Fundamental Groups and Covering Spaces,10:30A - 11:20A,MWF,"Instructors:Keiko Kawamuro(Primary Instructor)"
MATH:5400:0A01,Fundamental Groups and Covering Spaces,11:00A - 11:50A,Th,"Instructors:Pravakar Paul(Primary Instructor),Keiko Kawamuro(Course Supervisor)"
MATH:5600:0AAA,Nonlinear Dynamics with Numerical Methds,1:30P - 2:20P,MWF,"Instructors:Yangyang Wang(Primary Instructor)"
MATH:5600:0A01,Nonlinear Dynamics with Numerical Methds,2:00P - 2:50P,T,"Instructors:Anh Phan(Primary Instructor),Yangyang Wang(Course Supervisor)"
MATH:5750:0AAA,Mathematical Biology I,12:30P - 1:20P,MWF,"Instructors:Rodica Curtu(Primary Instructor),Colleen Mitchell(Team Teacher),Yangyang Wang(Team Teacher)"
MATH:5750:0A01,Mathematical Biology I,9:30A - 10:20A,Th,"Instructors:Anh Phan(Primary Instructor),Rodica Curtu(Course Supervisor),Colleen Mitchell(Course Supervisor)more..."
MATH:5800:0AAA,Numerical Methods I,9:30A - 10:20A,MWF,"Instructors:Bruce Ayati(Primary Instructor)"
MATH:5800:0A01,Numerical Methods I,9:30A - 10:20A,T,"Instructors:Ibrahim Emirahmetoglu(Primary Instructor),Bruce Ayati(Course Supervisor)"
MATH:5900:0001,First-Year Graduate Seminar,3:30P - 4:20P,F,"Instructors:Ryan Kinser(Primary Instructor)"
MATH:6000:0001,Categories and Modules,12:30P - 1:45P,TTh,"Instructors:Frauke Bleher(Primary Instructor)"
MATH:6200:0001,Analysis I,2:30P - 3:20P,MWF,"Instructors:Palle Jorgensen(Primary Instructor)"
MATH:6400:0001,Algebraic Topology,11:30A - 12:20P,MWF,"Instructors:Mohammad Farajzadeh Tehrani(Primary Instructor)"
MATH:6500:0001,Differential Geometry I,10:30A - 11:20A,MWF,"Instructors:Hao Fang(Primary Instructor)"
MATH:6700:0001,Partial Differential Equations I,10:30A - 11:20A,MWF,"Instructors:Lihe Wang(Primary Instructor)"
MATH:7030:0001,Topics in Algebra,11:00A - 12:15P,TTh,"Instructors:Frauke Bleher(Primary Instructor)"
MATH:7070:0001,Seminar: Algebra,3:30P - 4:20P,M,"NA"
MATH:7090:0001,Seminar: Representation Theory,NA,NA,"Instructors:Muthu Krishnamurthy(Primary Instructor),Yangbo Ye(Team Teacher)"
MATH:7200:0001,Functional Analysis I,9:30A - 10:45A,TTh,"Instructors:Ionut Chifan(Primary Instructor)"
MATH:7290:0001,Seminar: Operator Theory,1:30P - 2:20P,T,"Instructors:Richard Baker(Primary Instructor),Sergii Bezuglyi(Team Teacher),Ionut Chifan(Team Teacher)more..."
MATH:7400:0001,Current Geometry and Topology I,12:30P - 1:20P,MWF,"NA"
MATH:7470:0001,Seminar: Topology,2:00P - 3:15P,TTh,"Instructors:Ben Cooper(Primary Instructor),Isabel Darcy(Team Teacher),Mohammad Farajzadeh Tehrani(Team Teacher)more..."
MATH:7570:0001,Seminar: Differential Geometry,NA,NA,"Instructors:Oguz Durumeric(Primary Instructor),Hao Fang(Team Teacher),Mohammad Farajzadeh Tehrani(Team Teacher)more..."
MATH:7580:0001,Seminar: Mathematical Physics,2:30P - 3:20P,T,"Instructors:Palle Jorgensen(Primary Instructor)"
MATH:7670:0001,Seminar: Mathematical Biology,3:30P - 4:20P,M,"Instructors:Zahra Aminzare(Primary Instructor),Bruce Ayati(Team Teacher),Rodica Curtu(Team Teacher)more..."
MATH:7770:0001,Seminar: Partial Differential Equations,3:30P - 5:20P,W,"Instructors:Tong Li(Primary Instructor),Colleen Mitchell(Team Teacher),Lihe Wang(Team Teacher)more..."
MATH:7830:0001,Topics in Applied Mathematics,10:30A - 11:20A,MWF,"Instructors:Xueyu Zhu(Primary Instructor)"
MATH:7870:0001,Seminar: Numerical Analysis,11:00A - 11:50A,T,"Instructors:Bruce Ayati(Primary Instructor),Weimin Han(Team Teacher),Laurent Jay(Team Teacher)more..."
MATH:7990:0IND,Reading Research,NA,NA,"NA"
